"ncomp";"fold";"df";"aic";"bic";"cbic";"dev"
5;7;34000;4.59903692634523;5.11875612150019;4.66375347352402;4.49291873313483
5;8;34000;4.59601266797378;5.11573186312874;4.66072921515257;4.64561363329893
5;9;34000;4.60668103527369;5.12640023042865;4.67139758245248;4.73060489974831
5;10;34000;4.58853178342956;5.10825097858452;4.65324833060835;4.54979922361112
5;11;34000;4.60539625200473;5.12511544715969;4.67011279918352;4.56663608308962
5;12;34000;4.60515404252122;5.12487323767618;4.66987058970001;4.56648865696265
5;13;34000;4.60781508552214;5.12753428067709;4.67253163270093;4.62903108704143
5;14;34000;4.63006857071364;5.1497877658686;4.69478511789243;4.7186071382527
5;15;34000;4.62246851075425;5.14218770590921;4.68718505793305;4.73632362593346
5;16;34000;4.59533531140076;5.11505450655572;4.66005185857955;4.49924335112094
5;17;34000;4.61870618899222;5.13842538414718;4.68342273617101;4.7505052574391
5;18;34000;4.58930963366066;5.10902882881562;4.65402618083945;4.66454980160489
5;19;34000;4.61521368908374;5.1349328842387;4.67993023626253;4.67429961000875
5;20;34000;4.60185508113472;5.12157427628967;4.66657162831351;4.75315129733417
6;1;39500;4.5406992567749;5.14449067467551;4.61588465717379;4.72721929085758
6;2;39500;4.54626612503097;5.15005754293158;4.62145152542986;4.85916217480524
6;3;39500;4.53973402447261;5.14352544237323;4.6149194248715;4.73196363404738
6;4;39500;4.5355799349631;5.13937135286371;4.61076533536199;4.72798360964265
6;5;39500;4.56587742511274;5.16966884301336;4.64106282551163;4.67002566568861
6;6;39500;4.53667952382348;5.14047094172409;4.61186492422237;4.71029543931392
6;7;39500;4.54995017895794;5.15374159685855;4.62513557935682;4.68778894478653
6;8;39500;4.54473120921035;5.14852262711096;4.61991660960924;4.80091125896838
6;9;39500;4.52644793991286;5.13023935781347;4.60163334031175;4.7821493648746
6;10;39500;4.55885146902949;5.16264288693011;4.63403686942838;4.9960311724457
6;11;39500;4.55778675256867;5.16157817046929;4.63297215296756;4.58753916349881
6;12;39500;4.54401413309968;5.1478055510003;4.61919953349857;4.63203225982774
6;13;39500;4.55059765263578;5.15438907053639;4.62578305303467;4.950052947608
6;14;39500;4.55266642327243;5.15645784117305;4.62785182367132;4.9403072741495
6;15;39500;4.54157098418721;5.14536240208782;4.6167563845861;4.66031731090203
6;16;39500;4.55138592304249;5.15517734094311;4.62657132344138;4.95898998178699
6;17;39500;4.54785103700649;5.1516424549071;4.62303643740538;4.73154657912406
6;18;39500;4.54125021226183;5.14504163016244;4.61643561266072;4.74504887259488
6;19;39500;4.51441510442106;5.11820652232168;4.58960050481995;4.5903288412369
6;20;39500;4.53863881850904;5.14243023640965;4.61382421890793;4.8317692726567
7;1;45000;4.45656850420375;5.14443214485002;4.54222275782274;5.03712032651403
7;2;45000;4.49366674742743;5.1815303880737;4.57932100104642;4.80501790971466
7;3;45000;4.4825081965981;5.17037183724437;4.56816245021708;4.72409054612264
7;4;45000;4.48333907014482;5.17120271079109;4.56899332376381;4.77722336975249
7;5;45000;4.45923565753766;5.14709929818393;4.54488991115664;4.78862643321511
7;6;45000;4.45004341897062;5.13790705961689;4.53569767258961;4.73993124317846
7;7;45000;4.45579153726577;5.14365517791204;4.54144579088476;4.74215087521288
7;8;45000;4.46669057600944;5.15455421665571;4.55234482962842;4.82224981289463
7;9;45000;4.46440886549427;5.15227250614054;4.55006311911326;4.88378161565734
7;10;45000;4.46880709027039;5.15667073091666;4.55446134388938;4.7897331437025
