"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Purity";"Set";"Iter"
"NBWaVE";18.99;0.0233;0.0043;0.0103;0.4811;0.8881;"Full";9
"CMF";31.465;0.0251;0.0047;0.0122;0.1557;0.554;"Full";9
"NMF";26.722;0.0261;0.0048;0.0128;0.0581;0.5465;"Full";9
"NNLM";16.754;0.0237;0.0044;0.0089;0.1113;0.6558;"Full";9
"AIRWLS";21.087;0.0228;0.0043;0.0081;0.3934;0.8706;"Full";9
"Newton";11.151;0.0228;0.0043;0.0079;0.387;0.8616;"Full";9
"C-SGD";10.245;0.0225;0.0042;0.0083;0.3473;0.8048;"Full";9
"B-SGD";5.877;0.0229;0.0043;0.0093;0.2093;0.6452;"Full";9
"AvaGrad";11.598;0.0289;0.1435;0.022;-0.0388;0.2608;"Train";9
"Fisher";12.493;0.0243;0.143;0.0078;0.2652;0.721;"Train";9
"NBWaVE";18.99;0.0229;0.1427;0.0097;0.4811;0.8881;"Train";9
"CMF";31.465;0.025;0.1429;0.0086;0.1557;0.554;"Train";9
"NMF";26.722;0.0259;0.1432;0.0103;0.0581;0.5465;"Train";9
"NNLM";16.754;0.0235;0.1427;0.0078;0.1113;0.6558;"Train";9
"AIRWLS";21.087;0.0227;0.1426;0.0063;0.3934;0.8706;"Train";9
"Newton";11.151;0.0227;0.1426;0.0064;0.387;0.8616;"Train";9
"C-SGD";10.245;0.0221;0.1425;0.0077;0.3473;0.8048;"Train";9
"B-SGD";5.877;0.0221;0.1426;0.0085;0.2093;0.6452;"Train";9
"AvaGrad";11.598;0.0289;0.4942;0.0239;-0.0388;0.2608;"Test";9
"Fisher";12.493;0.025;0.4936;0.0209;0.2652;0.721;"Test";9
"NBWaVE";18.99;0.0245;0.4936;0.0119;0.4811;0.8881;"Test";9
"CMF";31.465;0.0257;0.4941;0.0225;0.1557;0.554;"Test";9
"NMF";26.722;0.0264;0.4938;0.0199;0.0581;0.5465;"Test";9
"NNLM";16.754;0.024;0.4939;0.0121;0.1113;0.6558;"Test";9
"AIRWLS";21.087;0.0232;0.4937;0.0134;0.3934;0.8706;"Test";9
"Newton";11.151;0.0232;0.4937;0.0121;0.387;0.8616;"Test";9
"C-SGD";10.245;0.0237;0.4937;0.01;0.3473;0.8048;"Test";9
"B-SGD";5.877;0.0252;0.4938;0.0117;0.2093;0.6452;"Test";9
"AvaGrad";13.094;0.0286;0.0048;0.0196;-0.0431;0.2637;"Full";10
"Fisher";9.039;0.0253;0.0042;0.0114;0.1928;0.6187;"Full";10
"NBWaVE";28.345;0.0241;0.004;0.0103;0.5396;0.9721;"Full";10
"CMF";32.656;0.0255;0.0043;0.0106;0.2335;0.6155;"Full";10
"NMF";26.693;0.0261;0.0043;0.0122;0.1173;0.557;"Full";10
"NNLM";17.535;0.0244;0.0041;0.0088;0.1643;0.6384;"Full";10
"AIRWLS";21.07;0.0236;0.004;0.008;0.4752;0.9418;"Full";10
"Newton";11.181;0.0236;0.004;0.008;0.5364;0.9459;"Full";10
"C-SGD";11.012;0.0235;0.0039;0.0084;0.4305;0.8572;"Full";10
"B-SGD";5.869;0.0239;0.004;0.0095;0.2878;0.7542;"Full";10
"AvaGrad";13.094;0.0286;0.1431;0.0191;-0.0431;0.2637;"Train";10
"Fisher";9.039;0.0252;0.1427;0.0086;0.1928;0.6187;"Train";10
"NBWaVE";28.345;0.0237;0.1425;0.0098;0.5396;0.9721;"Train";10
"CMF";32.656;0.0254;0.1427;0.0086;0.2335;0.6155;"Train";10
"NMF";26.693;0.026;0.1428;0.0102;0.1173;0.557;"Train";10
"NNLM";17.535;0.0243;0.1425;0.008;0.1643;0.6384;"Train";10
"AIRWLS";21.07;0.0235;0.1424;0.0069;0.4752;0.9418;"Train";10
"Newton";11.181;0.0235;0.1424;0.0069;0.5364;0.9459;"Train";10
"C-SGD";11.012;0.0232;0.1424;0.0078;0.4305;0.8572;"Train";10
"B-SGD";5.869;0.023;0.1424;0.0089;0.2878;0.7542;"Train";10
"AvaGrad";13.094;0.0286;0.4938;0.0208;-0.0431;0.2637;"Test";10
"Fisher";9.039;0.0257;0.4934;0.0194;0.1928;0.6187;"Test";10
"NBWaVE";28.345;0.0252;0.4933;0.0116;0.5396;0.9721;"Test";10
"CMF";32.656;0.0258;0.4936;0.0164;0.2335;0.6155;"Test";10
"NMF";26.693;0.0264;0.4934;0.0178;0.1173;0.557;"Test";10
"NNLM";17.535;0.0246;0.4935;0.011;0.1643;0.6384;"Test";10
"AIRWLS";21.07;0.0241;0.4934;0.0112;0.4752;0.9418;"Test";10
"Newton";11.181;0.024;0.4934;0.0113;0.5364;0.9459;"Test";10
"C-SGD";11.012;0.0246;0.4935;0.0101;0.4305;0.8572;"Test";10
"B-SGD";5.869;0.0265;0.4935;0.0111;0.2878;0.7542;"Test";10
"AvaGrad";5.931;0.0256;0.0047;0.0189;-0.035;0.2486;"Full";11
"Fisher";9.662;0.0223;0.0041;0.0112;0.2255;0.6858;"Full";11
"NBWaVE";33.096;0.0213;0.0039;0.0118;0.395;0.8025;"Full";11
"CMF";31.466;0.0229;0.0042;0.0136;0.074;0.4971;"Full";11
"NMF";26.717;0.0231;0.0042;0.0122;0.0437;0.4927;"Full";11
